Año,Mes,Día,Hora,Minuto,Segundo,Dato
2024,09,18,21,51,12,Movimiento Detectado
2024,09,18,21,51,13,Movimiento Detectado
2024,09,18,21,51,16,Movimiento Detectado
2024,09,18,21,51,17,Movimiento Detectado
2024,09,18,21,51,20,Movimiento Detectado
2024,09,18,21,51,21,Movimiento Detectado
2024,09,18,21,51,26,Movimiento Detectado
2024,09,18,21,51,40,Movimiento Detectado
2024,09,18,21,51,41,Movimiento Detectado
2024,09,18,21,51,45,Movimiento Detectado
2024,09,18,21,51,52,Movimiento Detectado
2024,09,18,21,52,03,Movimiento Detectado
2024,09,18,21,52,04,Movimiento Detectado
2024,09,18,21,52,08,Movimiento Detectado
2024,09,18,21,52,11,Movimiento Detectado
2024,09,18,21,52,12,Movimiento Detectado
2024,09,18,21,52,15,Movimiento Detectado
2024,09,18,21,52,16,Movimiento Detectado
2024,09,18,21,52,23,Movimiento Detectado
2024,09,18,21,52,24,Movimiento Detectado
2024,09,18,21,52,27,Movimiento Detectado
2024,09,18,21,52,28,Movimiento Detectado
2024,09,18,21,52,31,Movimiento Detectado
2024,09,18,21,52,32,Movimiento Detectado
2024,09,18,21,52,36,Movimiento Detectado
2024,09,18,21,52,37,Movimiento Detectado
2024,09,18,21,52,40,Movimiento Detectado
2024,09,18,21,52,41,Movimiento Detectado
2024,09,18,21,52,57,Movimiento Detectado
2024,09,18,21,53,04,Movimiento Detectado
2024,09,18,21,53,05,Movimiento Detectado
2024,09,18,21,53,10,Movimiento Detectado
2024,09,18,21,53,28,Movimiento Detectado
2024,09,18,21,53,29,Movimiento Detectado
2024,09,18,21,53,33,Movimiento Detectado
2024,09,18,21,53,37,Movimiento Detectado
2024,09,18,21,53,38,Movimiento Detectado
2024,09,18,21,53,48,Movimiento Detectado
2024,09,18,21,53,53,Movimiento Detectado
2024,09,18,21,53,57,Movimiento Detectado
2024,09,18,21,54,10,Movimiento Detectado
2024,09,18,21,54,12,Movimiento Detectado
2024,09,18,21,54,16,Movimiento Detectado
2024,09,18,21,54,24,Movimiento Detectado
2024,09,18,21,54,29,Movimiento Detectado
2024,09,18,21,54,34,Movimiento Detectado
2024,09,18,21,54,35,Movimiento Detectado
2024,09,18,21,54,40,Movimiento Detectado
2024,09,18,21,54,44,Movimiento Detectado
2024,09,18,21,54,58,Movimiento Detectado
2024,09,18,21,55,02,Movimiento Detectado
2024,09,18,21,55,09,Movimiento Detectado
2024,09,18,21,55,20,Movimiento Detectado
2024,09,18,21,55,24,Movimiento Detectado
2024,09,18,21,55,25,Movimiento Detectado
2024,09,18,21,55,37,Movimiento Detectado
2024,09,18,21,55,40,Movimiento Detectado
2024,09,18,21,55,41,Movimiento Detectado
2024,09,18,21,55,47,Movimiento Detectado
2024,09,18,21,55,48,Movimiento Detectado
2024,09,18,21,55,52,Movimiento Detectado
2024,09,18,21,55,53,Movimiento Detectado
2024,09,18,21,55,56,Movimiento Detectado
2024,09,18,21,55,57,Movimiento Detectado
2024,09,18,21,56,00,Movimiento Detectado
2024,09,18,21,56,05,Movimiento Detectado
2024,09,18,21,56,09,Movimiento Detectado
2024,09,18,21,56,13,Movimiento Detectado
2024,09,18,21,56,18,Movimiento Detectado
2024,09,18,21,56,22,Movimiento Detectado
2024,09,18,21,56,36,Movimiento Detectado
2024,09,18,21,56,37,Movimiento Detectado
2024,09,18,21,56,40,Movimiento Detectado
2024,09,18,21,56,45,Movimiento Detectado
2024,09,18,21,56,49,Movimiento Detectado
2024,09,18,21,56,53,Movimiento Detectado
2024,09,18,21,56,57,Movimiento Detectado
2024,09,18,21,57,01,Movimiento Detectado
2024,09,18,21,57,07,Movimiento Detectado
2024,09,18,21,57,13,Movimiento Detectado
2024,09,18,21,57,17,Movimiento Detectado
2024,09,18,21,57,18,Movimiento Detectado
2024,09,18,21,57,23,Movimiento Detectado
