Año,Mes,Dia,Hora,Minuto,Segundo,Dato
2024,09,18,17,48,38,Movimiento Detectado
2024,09,18,17,48,42,Movimiento Detectado
2024,09,18,17,48,45,Movimiento Detectado
2024,09,18,17,48,46,Movimiento Detectado
2024,09,18,17,48,49,Movimiento Detectado
2024,09,18,17,48,50,Movimiento Detectado
2024,09,18,17,48,54,Movimiento Detectado
2024,09,18,17,48,59,Movimiento Detectado
2024,09,18,17,49,03,Movimiento Detectado
2024,09,18,17,49,07,Movimiento Detectado
2024,09,18,17,49,11,Movimiento Detectado
2024,09,18,17,49,15,Movimiento Detectado
2024,09,18,17,49,20,Movimiento Detectado
2024,09,18,17,49,25,Movimiento Detectado
2024,09,18,17,49,26,Movimiento Detectado
2024,09,18,17,49,32,Movimiento Detectado
2024,09,18,17,49,33,Movimiento Detectado
2024,09,18,17,49,36,Movimiento Detectado
2024,09,18,17,49,37,Movimiento Detectado
2024,09,18,17,49,47,Movimiento Detectado
2024,09,18,17,49,51,Movimiento Detectado
2024,09,18,17,49,52,Movimiento Detectado
2024,09,18,17,49,57,Movimiento Detectado
2024,09,18,17,50,03,Movimiento Detectado
2024,09,18,17,50,03,Movimiento Detectado
2024,09,18,17,50,06,Movimiento Detectado
2024,09,18,17,50,07,Movimiento Detectado
2024,09,18,17,50,13,Movimiento Detectado
2024,09,18,17,50,17,Movimiento Detectado
2024,09,18,17,50,22,Movimiento Detectado
2024,09,18,17,50,27,Movimiento Detectado
2024,09,18,17,50,31,Movimiento Detectado
2024,09,18,17,50,35,Movimiento Detectado
2024,09,18,17,50,36,Movimiento Detectado
2024,09,18,17,50,40,Movimiento Detectado
2024,09,18,17,50,44,Movimiento Detectado
2024,09,18,17,50,49,Movimiento Detectado
2024,09,18,17,50,53,Movimiento Detectado
2024,09,18,17,51,08,Movimiento Detectado
2024,09,18,17,51,09,Movimiento Detectado
2024,09,18,17,51,15,Movimiento Detectado
2024,09,18,17,51,16,Movimiento Detectado
2024,09,18,17,51,19,Movimiento Detectado
2024,09,18,17,51,20,Movimiento Detectado
2024,09,18,17,51,23,Movimiento Detectado
2024,09,18,17,51,24,Movimiento Detectado
2024,09,18,17,51,27,Movimiento Detectado
2024,09,18,17,51,36,Movimiento Detectado
2024,09,18,17,51,37,Movimiento Detectado
2024,09,18,17,51,40,Movimiento Detectado
2024,09,18,17,51,41,Movimiento Detectado
2024,09,18,17,51,45,Movimiento Detectado
2024,09,18,17,51,50,Movimiento Detectado
2024,09,18,17,51,54,Movimiento Detectado
2024,09,18,17,51,55,Movimiento Detectado
2024,09,18,17,51,58,Movimiento Detectado
2024,09,18,17,51,59,Movimiento Detectado
2024,09,18,17,52,04,Movimiento Detectado
2024,09,18,17,52,08,Movimiento Detectado
2024,09,18,17,52,12,Movimiento Detectado
2024,09,18,17,52,18,Movimiento Detectado
2024,09,18,17,52,22,Movimiento Detectado
2024,09,18,17,52,26,Movimiento Detectado
2024,09,18,17,52,31,Movimiento Detectado
2024,09,18,17,52,32,Movimiento Detectado
2024,09,18,17,52,36,Movimiento Detectado
2024,09,18,17,52,37,Movimiento Detectado
2024,09,18,17,52,40,Movimiento Detectado
2024,09,18,17,52,41,Movimiento Detectado
2024,09,18,17,52,45,Movimiento Detectado
2024,09,18,17,52,51,Movimiento Detectado
2024,09,18,17,52,52,Movimiento Detectado
2024,09,18,17,52,56,Movimiento Detectado
2024,09,18,17,52,57,Movimiento Detectado
2024,09,18,17,53,02,Movimiento Detectado
2024,09,18,17,53,06,Movimiento Detectado
2024,09,18,17,53,11,Movimiento Detectado
2024,09,18,17,53,16,Movimiento Detectado
2024,09,18,17,53,21,Movimiento Detectado
2024,09,18,17,53,22,Movimiento Detectado
2024,09,18,17,53,27,Movimiento Detectado
2024,09,18,17,53,31,Movimiento Detectado
2024,09,18,17,53,36,Movimiento Detectado
2024,09,18,17,53,40,Movimiento Detectado
2024,09,18,17,53,44,Movimiento Detectado
2024,09,18,17,53,45,Movimiento Detectado
2024,09,18,17,53,48,Movimiento Detectado
2024,09,18,17,53,52,Movimiento Detectado
2024,09,18,17,53,59,Movimiento Detectado
2024,09,18,17,54,05,Movimiento Detectado
2024,09,18,17,54,10,Movimiento Detectado
2024,09,18,17,54,11,Movimiento Detectado
2024,09,18,17,54,16,Movimiento Detectado
2024,09,18,17,54,17,Movimiento Detectado
2024,09,18,17,54,20,Movimiento Detectado
2024,09,18,17,54,21,Movimiento Detectado
2024,09,18,17,54,24,Movimiento Detectado
2024,09,18,17,54,25,Movimiento Detectado
2024,09,18,17,54,28,Movimiento Detectado
2024,09,18,17,54,29,Movimiento Detectado
2024,09,18,17,54,34,Movimiento Detectado
2024,09,18,17,54,35,Movimiento Detectado
2024,09,18,17,54,41,Movimiento Detectado
2024,09,18,17,54,45,Movimiento Detectado
2024,09,18,17,54,50,Movimiento Detectado
2024,09,18,17,54,51,Movimiento Detectado
2024,09,18,17,54,55,Movimiento Detectado
2024,09,18,17,54,56,Movimiento Detectado
2024,09,18,17,55,00,Movimiento Detectado
2024,09,18,17,55,04,Movimiento Detectado
2024,09,18,17,55,09,Movimiento Detectado
2024,09,18,17,55,10,Movimiento Detectado
2024,09,18,17,55,16,Movimiento Detectado
2024,09,18,17,55,17,Movimiento Detectado
2024,09,18,17,55,20,Movimiento Detectado
2024,09,18,17,55,21,Movimiento Detectado
2024,09,18,17,55,26,Movimiento Detectado
2024,09,18,17,55,27,Movimiento Detectado
2024,09,18,17,55,31,Movimiento Detectado
2024,09,18,17,55,32,Movimiento Detectado
2024,09,18,17,55,38,Movimiento Detectado
2024,09,18,17,55,44,Movimiento Detectado
2024,09,18,17,55,48,Movimiento Detectado
2024,09,18,17,55,52,Movimiento Detectado
2024,09,18,17,55,53,Movimiento Detectado
2024,09,18,17,55,57,Movimiento Detectado
2024,09,18,17,56,03,Movimiento Detectado
2024,09,18,17,56,04,Movimiento Detectado
2024,09,18,17,56,07,Movimiento Detectado
2024,09,18,17,56,12,Movimiento Detectado
2024,09,18,17,56,16,Movimiento Detectado
2024,09,18,17,56,20,Movimiento Detectado
2024,09,18,17,56,24,Movimiento Detectado
2024,09,18,17,56,29,Movimiento Detectado
2024,09,18,17,56,33,Movimiento Detectado
2024,09,18,17,56,40,Movimiento Detectado
2024,09,18,17,56,45,Movimiento Detectado
2024,09,18,17,56,49,Movimiento Detectado
2024,09,18,17,56,53,Movimiento Detectado
2024,09,18,17,56,57,Movimiento Detectado
2024,09,18,17,56,58,Movimiento Detectado
2024,09,18,17,57,02,Movimiento Detectado
2024,09,18,17,57,06,Movimiento Detectado
2024,09,18,17,57,09,Movimiento Detectado
2024,09,18,17,57,10,Movimiento Detectado
2024,09,18,17,57,13,Movimiento Detectado
2024,09,18,17,57,14,Movimiento Detectado
2024,09,18,17,57,21,Movimiento Detectado
2024,09,18,17,57,25,Movimiento Detectado
2024,09,18,17,57,30,Movimiento Detectado
2024,09,18,17,57,31,Movimiento Detectado
2024,09,18,17,57,34,Movimiento Detectado
2024,09,18,17,57,40,Movimiento Detectado
2024,09,18,17,57,43,Movimiento Detectado
2024,09,18,17,57,44,Movimiento Detectado
2024,09,18,17,57,48,Movimiento Detectado
2024,09,18,17,57,52,Movimiento Detectado
2024,09,18,17,57,57,Movimiento Detectado
2024,09,18,17,57,58,Movimiento Detectado
2024,09,18,17,58,02,Movimiento Detectado
2024,09,18,17,58,08,Movimiento Detectado
